STATE,COUNTY,FIPS,STATE_FIPS,SQUARE_MIL,fips_withSW,Future_length,Future_intensity,Future_SWnum6y,Future_SWnum1y,Future_SWdaynum,Future_seasonlength,Future_index2,PD_length,PD_intensity,PD_SWnum6y,PD_SWnum1y,PD_SWdaynum,PD_seasonlengh,PD_index2,Y2050A1,Y2050A2,Y2050B1,Y2050B2,Y2050BC,Y2005,x,y,popint_05,popint_a1
AZ,Apache County,04001,04,11218.496,,0.00,0.00,0.00,0.00,0.00,0.00,0,0.00,0.00,0.00,0.00,0.00,0.00,0,74369,92329,88284,98195,90890,69600,-109.48883685300,35.39561223780,6.20404000000,6.62914000000
AZ,Cochise County,04003,04,6218.163,,0.00,0.00,0.00,0.00,0.00,0.00,0,0.00,0.00,0.00,0.00,0.00,0.00,0,152277,182179,147986,161634,163728,126153,-109.75106157500,31.87959818740,20.28780000000,24.48910000000
AZ,Coconino County,04005,04,18660.900,,0.00,0.00,0.00,0.00,0.00,0.00,0,0.00,0.00,0.00,0.00,0.00,0.00,0,160919,192392,160666,175865,175962,123826,-111.77047632200,35.83871064190,6.63559000000,8.62332000000
AZ,Gila County,04007,04,4796.312,,0.00,0.00,0.00,0.00,0.00,0.00,0,0.00,0.00,0.00,0.00,0.00,0.00,0,37236,44908,46647,51301,46232,51528,-110.81161228600,33.79958128630,10.74330000000,7.76346000000
AZ,Graham County,04009,04,4651.570,,0.00,0.00,0.00,0.00,0.00,0.00,0,0.00,0.00,0.00,0.00,0.00,0.00,0,38529,46525,40407,44532,43527,33089,-109.88585405100,32.93218692870,7.11351000000,8.28301000000
AZ,Greenlee County,04011,04,1837.476,,0.00,0.00,0.00,0.00,0.00,0.00,0,0.00,0.00,0.00,0.00,0.00,0.00,0,3460,4532,7245,7701,5718,7499,-109.24005133700,33.21818461180,4.08114000000,1.88302000000
AZ,La Paz County,04012,04,4513.135,,0.00,0.00,0.00,0.00,0.00,0.00,0,0.00,0.00,0.00,0.00,0.00,0.00,0,16079,19177,17461,19083,18307,20225,-113.98132545600,33.72921065980,4.48136000000,3.56271000000
AZ,Maricopa County,04013,04,9224.569,,0.00,0.00,0.00,0.00,0.00,0.00,0,0.00,0.00,0.00,0.00,0.00,0.00,0,4374030,5207440,4467479,4862708,4808118,3638481,-112.49118336000,33.34884117690,394.43400000000,474.17200000000
AZ,Mohave County,04015,04,13461.586,,0.00,0.00,0.00,0.00,0.00,0.00,0,0.00,0.00,0.00,0.00,0.00,0.00,0,376576,431551,230919,249734,317186,186617,-113.75791125700,35.70401041850,13.86290000000,27.97410000000
AZ,Navajo County,04017,04,9959.470,,0.00,0.00,0.00,0.00,0.00,0.00,0,0.00,0.00,0.00,0.00,0.00,0.00,0,142078,173633,141558,156699,157188,108494,-110.32139951100,35.39961140440,10.89360000000,14.26560000000
AZ,Pima County,04019,04,9189.591,,0.00,0.00,0.00,0.00,0.00,0.00,0,0.00,0.00,0.00,0.00,0.00,0.00,0,1236361,1491207,1137224,1250675,1304416,925000,-111.78993511100,32.09733543010,100.65700000000,134.53900000000
AZ,Pinal County,04021,04,5373.722,,0.00,0.00,0.00,0.00,0.00,0.00,0,0.00,0.00,0.00,0.00,0.00,0.00,0,429747,509623,320633,351053,405408,240044,-111.34479270100,32.90428910680,44.67000000000,79.97190000000
AZ,Santa Cruz County,04023,04,1238.728,,0.00,0.00,0.00,0.00,0.00,0.00,0,0.00,0.00,0.00,0.00,0.00,0.00,0,65538,80118,63070,70164,71135,42012,-110.84656372500,31.52591230670,33.91540000000,52.90750000000
AZ,Yavapai County,04025,04,8127.977,,0.00,0.00,0.00,0.00,0.00,0.00,0,0.00,0.00,0.00,0.00,0.00,0.00,0,307808,356843,215198,233652,277976,198841,-112.55384577600,34.59987046440,24.46380000000,37.87020000000
AZ,Yuma County,04027,04,5518.393,,0.00,0.00,0.00,0.00,0.00,0.00,0,0.00,0.00,0.00,0.00,0.00,0.00,0,382040,460433,280865,310555,360480,181598,-113.90557314200,32.76947323890,32.90780000000,69.23030000000
CA,Alameda County,06001,06,744.536,06001,3.64,30.69,11.00,1.83,40.00,31.00,5,3.38,17.26,8.00,1.33,27.00,27.00,3,2003240,2246316,2024941,2072324,2066829,1451065,-121.88629902500,37.64643879670,1948.95000000000,2690.59000000000
CA,Alpine County,06003,06,740.072,06003,3.60,24.96,5.00,0.83,18.00,35.33,4,2.80,11.91,5.00,0.83,14.00,41.00,1,1198,1432,1198,1303,1303,1138,-119.82013318700,38.59799029000,1.53769000000,1.61876000000
CA,Amador County,06005,06,600.367,06005,3.13,21.14,8.00,1.33,25.00,23.40,4,2.89,11.90,9.00,1.50,26.00,21.83,2,32973,37228,32746,35140,34915,38434,-120.64923380700,38.44663577460,64.01750000000,54.92140000000
CA,Butte County,06007,06,1678.974,06007,3.50,31.33,14.00,2.33,49.00,37.50,5,3.73,16.85,15.00,2.50,56.00,45.00,5,268856,318537,258746,279234,285040,214153,-121.60012323000,39.66717689440,127.55000000000,160.13100000000
CA,Calaveras County,06009,06,1036.348,06009,3.29,21.07,7.00,1.17,23.00,22.00,4,2.75,11.52,8.00,1.33,22.00,25.40,2,40648,46347,41842,45325,44191,46779,-120.55376758300,38.20471518200,45.13830000000,39.22230000000
CA,Colusa County,06011,06,1158.861,06011,3.64,22.12,14.00,2.33,51.00,37.50,5,4.08,13.49,13.00,2.17,53.00,38.83,5,19613,22788,28485,29869,25141,20873,-122.23712126600,39.17798031570,18.01170000000,16.92440000000
CA,Contra Costa County,06013,06,733.711,06013,3.29,28.91,14.00,2.33,46.00,40.83,5,3.91,15.44,11.00,1.83,43.00,30.17,4,1240285,1440612,1252109,1327673,1323357,1017644,-121.93057380800,37.91512416020,1386.98000000000,1690.43000000000
CA,Del Norte County,06015,06,1013.179,06015,3.40,32.17,20.00,3.33,68.00,52.50,5,4.10,16.06,21.00,3.50,86.00,55.83,5,21179,24484,27432,29458,26061,28719,-123.89678487700,41.74321478380,28.34540000000,20.90350000000
CA,El Dorado County,06017,06,1788.512,06017,3.50,21.08,10.00,1.67,35.00,29.80,4,3.33,15.31,9.00,1.50,30.00,22.50,3,243528,284578,203929,219731,239555,176319,-120.52407498800,38.77888090770,98.58420000000,136.16200000000
CA,Fresno County,06019,06,6010.780,06019,3.20,15.37,5.00,0.83,16.00,34.33,3,2.33,11.84,3.00,0.50,7.00,2.33,1,1458762,1727947,1367542,1472794,1523110,878089,-119.65072283900,36.75839517230,146.08600000000,242.69100000000
CA,Glenn County,06021,06,1323.305,06021,3.50,22.93,14.00,2.33,49.00,38.17,5,4.08,14.32,12.00,2.00,49.00,34.17,4,20694,25336,31042,33708,28112,27683,-122.39143409500,39.59897977660,20.91960000000,15.63810000000
CA,Humboldt County,06023,06,3584.422,06023,3.48,28.65,23.00,3.83,80.00,60.17,5,4.40,17.90,20.00,3.33,88.00,59.17,5,101468,121891,127854,139575,125404,128359,-123.87330871200,40.69872455130,35.81020000000,28.30810000000
CA,Imperial County,06025,06,4495.635,06025,2.00,15.33,1.00,0.17,2.00,2.00,1,0.00,0.00,0.00,0.00,0.00,0.00,0,330114,391850,267759,289558,320423,155862,-115.36397987700,33.04119725900,34.66960000000,73.42990000000
CA,Inyo County,06027,06,10223.468,06027,2.00,9.28,3.00,0.50,6.00,32.00,1,0.00,0.00,0.00,0.00,0.00,0.00,0,4130,5111,12186,13332,7879,18040,-117.41213534500,36.51179389950,1.76457000000,0.40397300000
CA,Kern County,06029,06,8156.498,06029,3.00,20.69,3.00,0.50,9.00,33.50,2,2.67,11.57,3.00,0.50,8.00,2.67,1,1271617,1524990,1135704,1240766,1313728,756981,-118.73245149100,35.34249193590,92.80710000000,155.90200000000
CA,Kings County,06031,06,1387.258,06031,2.60,16.52,5.00,0.83,13.00,34.00,2,2.50,15.35,2.00,0.33,5.00,2.50,1,242972,287711,209151,227193,244018,143467,-119.81581277000,36.07475450670,103.41800000000,175.14600000000
CA,Lake County,06033,06,1331.757,06033,3.57,29.15,14.00,2.33,50.00,47.00,5,3.71,14.60,17.00,2.83,63.00,46.50,4,61790,73745,64802,70732,69190,65157,-122.75331463000,39.10073935640,48.92560000000,46.39740000000
CA,Lassen County,06035,06,4718.470,06035,3.10,27.52,10.00,1.67,31.00,27.60,4,3.45,17.94,11.00,1.83,38.00,23.67,4,23837,27040,30223,32547,29089,34603,-120.59473400300,40.67393908070,7.33352000000,5.05185000000
CA,Los Angeles County,06037,06,4079.506,06037,2.25,18.97,4.00,0.67,9.00,49.50,1,4.00,14.08,1.00,0.17,4.00,4.00,2,12411820,15126010,13172220,14392740,13997590,9941197,-118.22651710200,34.32272141770,2436.86000000000,3042.48000000000
